ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Peppers, jalapeno, raw",-77.628,27,65,41.5,-77.628,-83.4752,-96.5837,0.002,0.003,0.008,0.052,0.003,0.016,0.025,0.062,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,12.0,6.5,67.0,561.0,0.0,7.5,0.046,105.0,29.0,0.029,0.112,0.092,2.8,27.0,27.0,27.0,0.0,0.25,861.0,0.0,15.0,1.28,26.0,248.0,0.91,0.0,0.07,0.4,3.0,4.12,0.0,0.04,0.37,54.0,0.0,0.0,0.419,118.6,0.0,3.58,0.0,18.5,91.69,0.14
"Broccoli, chinese, raw",-53.9948,26,65,40.0,-53.9948,-53.4136,-59.0695,0.0,0.0,0.0,0.099,0.0,0.015,0.05,0.08,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,4.67,0.0,1032.0,0.0,26.5,0.064,0.0,26.0,0.053,0.347,0.116,2.6,104.0,104.0,104.0,0.0,0.59,957.0,0.0,19.0,0.459,43.0,274.0,1.2,0.0,0.153,1.4,7.0,0.88,0.0,0.1,0.76,86.0,0.0,0.0,0.074,29.6,0.0,0.5,0.0,89.1,92.55,0.41
"Seeds, chia seeds, dried",-105.633,26,65,40.0,-105.633,-109.2518,-105.9464,0.0,0.0,0.03,2.17,0.029,0.912,2.203,5.835,17.83,0.0,0.046,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,42.12,0.0,0.0,0.0,78.7,0.924,0.0,486.0,2.309,23.665,3.33,34.4,49.0,49.0,49.0,0.0,7.72,0.0,0.0,335.0,8.83,860.0,407.0,16.54,0.0,0.17,55.2,16.0,1.55,0.0,0.62,30.74,0.0,0.0,0.0,0.393,1.6,0.0,0.5,0.0,3.7,5.8,4.58
"Seeds, pumpkin and squash seed kernels, roasted, without salt",-160.2378,26,65,40.0,-160.2378,-145.9481,-164.2929,0.002,0.006,0.058,5.191,0.044,2.913,15.626,19.59,0.111,0.0,0.053,0.123,0.0,0.001,0.0,0.0,0.0,0.007,0.002,0.0,0.0,52.0,14.71,1.0,5.0,0.0,63.0,1.275,0.0,574.0,15.734,19.856,8.544,6.5,57.0,57.0,57.0,0.0,8.07,30.0,0.0,550.0,4.43,1174.0,788.0,29.84,0.0,0.15,9.4,18.0,1.29,0.0,0.07,49.05,0.0,0.0,0.0,0.1,1.8,0.0,0.56,0.0,4.5,2.03,7.64
"Seeds, sunflower seed kernels, dry roasted, without salt",13.0593,26,65,40.0,13.0593,,,0.0,0.0,0.051,2.808,0.049,2.212,9.399,32.782,0.069,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,24.07,0.0,5.0,0.0,55.1,1.83,0.0,582.0,9.505,32.884,5.219,11.1,237.0,237.0,237.0,0.0,3.8,0.0,0.0,129.0,7.042,1155.0,850.0,19.33,0.0,0.246,79.3,3.0,2.73,0.0,0.106,49.8,0.0,0.0,0.0,0.804,1.4,0.0,26.1,0.0,2.7,1.2,5.29
"Nuts, almonds, whole, raw",-17.7359,26,65,40.0,-17.7359,,-21.0839,0.0,0.0,0.003,3.083,0.239,0.704,31.294,12.324,0.003,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,20.03,0.0,1.0,0.0,52.1,0.91,0.0,626.0,31.3,11.2,3.78,10.8,44.0,44.0,44.0,0.0,3.74,1.0,0.0,258.0,3.77,503.0,733.0,21.45,0.0,1.138,4.1,0.0,4.35,0.0,0.16,51.09,0.0,0.0,0.0,0.101,0.0,0.0,25.63,0.0,0.0,4.26,2.86
"Nuts, almonds, dry roasted, without salt added",-31.9715,26,65,40.0,-31.9715,-34.577,,0.0,0.0,0.019,3.348,0.259,0.704,32.754,12.945,0.01,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,21.01,0.0,1.0,0.0,52.1,1.099,0.0,598.0,33.076,12.955,4.092,10.9,55.0,55.0,55.0,0.0,3.73,1.0,0.0,279.0,3.637,471.0,713.0,20.96,0.0,1.197,2.0,3.0,4.86,0.0,0.077,52.54,0.0,0.0,0.0,0.136,0.0,0.0,23.9,0.0,0.0,2.41,3.31
"Nuts, almond paste",20.9585,26,65,40.0,20.9585,22.4405,,0.0,0.003,0.158,1.836,0.162,0.542,17.68,5.576,0.199,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,47.81,0.0,0.0,0.0,28.5,0.454,0.0,458.0,18.012,5.821,2.629,4.8,73.0,73.0,73.0,0.0,1.6,1.0,0.0,130.0,1.422,258.0,314.0,9.0,0.0,0.414,4.2,9.0,36.25,0.0,0.082,27.74,0.0,0.0,0.0,0.036,0.1,0.0,13.54,0.0,0.0,14.08,1.48
"Nuts, brazilnuts, dried, unblanched",-419.497,26,65,40.0,-419.497,-394.1042,-417.1659,0.0,0.0,0.046,9.626,0.214,6.244,23.594,24.363,0.036,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,11.74,0.0,0.0,0.0,28.8,1.743,0.0,659.0,23.879,24.399,16.134,7.5,22.0,22.0,22.0,0.0,2.43,0.0,0.0,376.0,0.295,725.0,659.0,14.32,0.0,0.035,1917.0,3.0,2.33,0.0,0.617,67.1,0.0,0.0,0.0,0.101,0.7,0.0,5.65,0.0,0.0,3.42,4.06
"Nuts, cashew nuts, dry roasted, without salt added",-11.3273,26,65,40.0,-11.3273,-10.5934,-11.859,0.132,0.784,0.347,4.351,0.318,2.972,26.808,7.66,0.161,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,45.0,32.69,0.0,0.0,0.0,61.0,2.22,0.0,574.0,27.317,7.836,9.157,3.0,69.0,69.0,69.0,0.0,6.0,23.0,0.0,260.0,1.4,490.0,565.0,15.31,0.0,0.2,11.7,16.0,5.01,0.0,0.2,46.35,0.0,0.0,0.0,0.256,0.0,0.0,0.92,0.0,34.7,1.7,5.6
"Nuts, coconut meat, raw",60.8777,26,65,40.0,60.8777,62.6359,71.9474,1.864,14.858,5.866,2.839,0.0,1.734,1.425,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,2.346,0.0,0.0,14.0,15.23,0.0,0.0,0.0,12.1,0.435,0.0,354.0,1.425,0.366,29.698,9.0,26.0,26.0,26.0,0.0,2.43,0.0,0.0,32.0,0.54,113.0,356.0,3.33,0.0,0.02,10.1,20.0,6.23,0.0,0.066,33.49,0.0,0.0,0.0,0.054,3.3,0.0,0.24,0.0,0.2,46.99,1.1
"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",70.5931,26,65,40.0,70.5931,88.6893,72.5415,1.841,13.78,5.103,2.242,0.004,0.825,1.363,0.222,0.0,0.0,0.009,0.0,0.0,0.002,0.0,0.0,0.0,0.206,2.362,0.0,0.0,11.0,51.85,0.0,0.0,0.0,19.3,0.295,0.0,456.0,1.377,0.222,26.396,9.9,3.0,3.0,3.0,0.0,1.51,0.0,0.0,51.0,0.697,100.0,361.0,3.13,0.0,0.015,16.1,285.0,36.75,0.0,0.015,27.99,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,15.46,0.71
"Nuts, coconut cream, canned, sweetened",70.3437,26,65,40.0,70.3437,,,1.115,8.442,3.024,1.105,0.0,0.295,0.679,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,1.409,0.0,0.0,4.0,53.21,0.0,0.0,0.0,6.6,0.236,0.0,357.0,0.679,0.159,15.472,0.2,14.0,14.0,14.0,0.0,0.13,0.0,0.0,17.0,0.038,22.0,101.0,1.17,0.0,0.04,5.5,36.0,51.5,0.0,0.022,16.31,0.0,0.0,0.0,0.029,0.0,0.0,0.13,0.0,0.1,28.97,0.6
"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",34.7183,26,65,40.0,34.7183,49.3646,37.7256,1.327,10.576,4.176,2.021,0.0,1.234,1.014,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,1.67,0.0,0.0,16.0,5.54,0.0,0.0,0.0,8.5,0.266,0.0,230.0,1.014,0.261,21.14,2.2,16.0,16.0,16.0,0.0,1.64,0.0,0.0,37.0,0.76,100.0,263.0,2.29,0.0,0.0,6.2,15.0,3.34,0.0,0.026,23.84,0.0,0.0,0.0,0.033,2.8,0.0,0.15,0.0,0.1,67.62,0.67
"Nuts, hazelnuts or filberts",35.1694,26,65,40.0,35.1694,33.3463,41.7181,0.0,0.0,0.0,3.097,0.116,1.265,45.405,7.833,0.087,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,16.7,3.0,11.0,0.0,45.6,1.725,0.0,628.0,45.652,7.92,4.464,9.7,113.0,113.0,113.0,0.0,4.7,92.0,0.0,163.0,1.8,290.0,680.0,14.95,0.0,0.113,2.4,0.0,4.34,0.0,0.643,60.75,1.0,0.0,0.0,0.563,6.3,0.0,15.03,0.0,14.2,5.31,2.45
"Nuts, pecans, halves, raw",94.409,26,65,40.0,94.409,88.7469,,0.0,0.0,0.0,4.366,0.0,1.745,40.594,20.628,0.986,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,12.7,0.0,29.0,0.0,40.5,0.906,9.0,750.0,39.3,22.9,6.46,5.8,22.0,22.0,22.0,0.0,2.37,17.0,0.0,103.0,0.946,253.0,360.0,9.96,0.0,0.13,3.8,0.0,3.97,0.0,0.548,73.28,3.0,0.0,0.0,0.171,1.1,0.0,1.4,0.0,4.1,2.62,3.93
"Nuts, pine nuts, dried",1.5103,26,65,40.0,1.5103,1.5212,,0.0,0.0,0.0,3.212,0.017,1.39,17.947,33.15,0.164,0.0,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.08,0.0,17.0,0.0,55.8,1.324,0.0,673.0,18.764,34.071,4.899,3.7,34.0,34.0,34.0,0.0,5.53,9.0,0.0,251.0,4.387,575.0,597.0,13.69,0.0,0.227,0.7,2.0,3.59,0.0,0.364,68.37,1.0,0.0,0.0,0.094,0.8,0.0,9.33,0.0,53.9,2.28,6.45
"Nuts, pistachio nuts, dry roasted, without salt added",46.77,26,65,40.0,46.77,,,0.0,0.0,0.012,4.994,0.464,0.558,23.926,13.125,0.212,0.0,0.106,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,28.28,0.0,159.0,0.0,71.4,1.293,0.0,572.0,24.534,13.346,5.645,10.3,51.0,51.0,51.0,0.0,4.03,1160.0,0.0,109.0,1.373,469.0,1007.0,21.05,0.0,0.234,10.0,6.0,7.74,0.0,0.695,45.82,13.0,0.0,0.0,1.122,3.0,0.0,2.17,0.0,13.2,1.85,2.34
"Nuts, walnuts, English, halves, raw",63.373,26,65,40.0,63.373,63.0681,63.2314,0.0,0.0,0.0,4.404,0.0,1.659,8.799,38.093,9.08,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,10.91,0.0,12.0,0.0,39.2,1.206,0.0,730.0,9.62,49.3,6.05,5.2,98.0,98.0,98.0,0.0,2.24,9.0,0.0,142.0,1.218,365.0,424.0,14.56,0.0,0.15,4.9,0.0,2.61,0.0,0.23,69.74,1.0,0.0,0.0,0.66,1.3,0.0,0.7,0.0,1.7,3.14,2.76
"Nuts, chestnuts, european, roasted",17.8923,26,65,40.0,17.8923,18.168,,0.0,0.0,0.01,0.373,0.021,0.021,0.728,0.776,0.093,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,52.96,0.0,14.0,0.0,1.5,0.507,0.0,245.0,0.759,0.869,0.414,5.1,70.0,70.0,70.0,0.0,0.91,13.0,0.0,33.0,1.342,107.0,592.0,3.17,0.0,0.175,1.2,2.0,10.6,0.0,0.243,2.2,1.0,0.0,0.0,0.497,26.0,0.0,0.5,0.0,7.8,40.48,0.57
"Almond butter, creamy",-13.7809,26,65,40.0,-13.7809,,-13.6945,0.0,0.0,0.007,3.3,0.247,0.819,34.3,12.6,0.007,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,21.24,0.0,1.0,0.0,52.1,0.975,0.0,645.0,34.7,12.6,4.25,9.7,42.0,42.0,42.0,0.0,4.11,1.0,0.0,268.0,3.909,507.0,745.0,20.79,0.0,0.939,0.8,1.0,4.43,0.0,0.095,53.04,0.0,0.0,0.0,0.084,0.0,0.0,16.67,0.0,0.0,1.75,3.18
"Seeds, sesame seed kernels, dried (decorticated)",-58.7623,26,65,40.0,-58.7623,,-58.8685,0.0,0.0,0.0,5.273,0.105,3.311,23.595,25.227,0.263,0.0,0.124,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.73,0.0,40.0,0.0,25.6,1.4,0.0,631.0,23.924,25.491,9.055,11.6,115.0,115.0,115.0,0.0,6.36,0.0,0.0,345.0,5.8,667.0,370.0,20.45,0.0,0.09,34.4,47.0,0.48,0.0,0.699,61.21,3.0,0.0,0.0,0.4,0.0,0.0,1.68,0.0,0.0,3.75,6.73
"Flaxseed, ground",-118.237,26,65,40.0,-118.237,-109.697,-111.6601,0.0,0.0,0.008,1.91,0.024,1.19,5.76,5.26,19.4,0.0,0.158,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,34.36,0.0,0.0,0.0,78.7,1.344,0.0,545.0,5.94,24.7,3.28,23.1,41.0,41.0,41.0,0.0,5.78,651.0,0.0,372.0,3.756,556.0,793.0,18.04,0.0,0.161,135.9,37.0,1.55,0.0,0.537,37.28,0.0,0.0,0.0,0.393,0.6,0.0,0.0,0.0,3.7,6.8,4.74
"Nuts, cashew butter, plain, with salt added",20.6259,26,65,40.0,20.6259,,24.0099,0.116,0.687,0.333,5.197,0.254,3.784,26.303,13.2,0.159,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,61.0,30.3,0.0,0.0,0.0,48.3,1.758,0.0,609.0,26.709,13.371,10.606,3.0,55.0,55.0,55.0,0.0,4.91,18.0,0.0,206.0,1.108,388.0,447.0,12.12,0.0,0.159,9.3,295.0,9.09,0.0,0.158,53.03,0.0,0.0,0.0,0.203,0.0,0.0,5.08,0.0,30.3,2.34,4.43
"Nuts, macadamia nuts, dry roasted, with salt added",90.1066,26,65,40.0,90.1066,88.294,93.4789,0.0,0.075,0.668,5.932,12.725,2.28,44.377,1.303,0.196,0.0,1.925,0.0,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,12.83,0.0,0.0,0.0,44.6,0.57,0.0,716.0,59.275,1.498,11.947,8.0,10.0,10.0,10.0,0.0,2.65,0.0,0.0,118.0,2.274,198.0,363.0,7.79,0.0,0.087,11.7,353.0,4.14,0.0,0.71,76.08,0.0,0.0,0.0,0.359,0.7,0.0,0.57,0.0,0.0,1.61,1.29
"Beef, retail cuts, separable fat, cooked",158.1331,26,65,40.0,158.1331,,,0.27,0.25,2.35,17.77,3.14,7.86,27.14,1.62,1.04,0.0,0.17,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,95.0,56.1,0.04,0.0,680.0,30.45,2.66,28.5,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,6.0,1.528,64.0,99.0,10.65,0.0,0.046,8.3,23.0,0.0,0.0,0.03,70.33,0.0,0.9,0.0,0.14,0.0,0.4,0.0,0.0,3.1,18.58,1.24
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",32.8676,26,65,40.0,32.8676,32.353,35.9334,0.0,0.0,0.246,2.263,0.343,1.359,4.552,0.432,0.018,0.0,0.024,0.063,0.003,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,104.0,97.0,0.101,0.0,216.0,5.068,0.519,4.002,0.0,8.0,8.0,8.0,0.0,3.19,0.0,0.0,22.0,3.874,206.0,306.0,30.54,2.0,0.247,35.5,65.0,0.0,0.0,0.07,10.46,2.0,3.39,0.0,0.318,0.0,0.1,0.08,0.0,1.6,58.22,11.32
"Beef, ground, patties, frozen, cooked, broiled",56.2814,26,65,40.0,56.2814,61.7086,52.966,0.0,0.0,0.69,4.939,0.688,2.782,8.452,0.592,0.044,0.0,0.039,0.0,0.003,0.0,0.016,0.001,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,84.0,74.6,0.077,0.0,295.0,9.358,0.656,8.805,0.0,21.0,21.0,21.0,0.0,2.42,0.0,0.0,19.0,5.305,174.0,305.0,23.05,0.0,0.176,21.5,77.0,0.0,0.0,0.03,21.83,0.0,2.65,0.0,0.435,0.0,0.2,0.0,0.0,2.3,53.91,4.84
"Beef, variety meats and by-products, brain, cooked, simmered",354.301,26,65,40.0,354.301,356.1682,354.5828,0.0,0.0,0.029,0.974,0.023,1.305,1.667,0.039,0.0,0.0,0.193,0.355,0.0,0.0,0.383,0.855,0.0,0.0,0.0,0.0,0.0,9.0,1.48,0.0,70.0,3100.0,490.9,0.23,0.0,151.0,1.882,1.632,2.394,0.0,5.0,5.0,5.0,0.0,2.3,0.0,0.0,12.0,3.62,335.0,244.0,11.67,0.0,0.217,21.8,108.0,0.0,0.0,0.069,10.53,6.0,10.1,0.0,0.143,10.5,0.0,1.67,0.0,0.1,74.86,1.09
"Beef, variety meats and by-products, heart, cooked, simmered",36.0906,26,65,40.0,36.0906,34.3662,34.8707,0.0,0.0,0.05,0.61,0.059,0.669,0.936,0.736,0.019,0.0,0.01,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.15,0.0,0.0,212.0,228.8,0.559,0.0,165.0,1.011,0.985,1.404,0.0,5.0,5.0,5.0,0.0,6.38,0.0,0.0,21.0,6.68,254.0,219.0,28.48,0.0,1.21,38.9,59.0,0.0,0.0,0.101,4.73,0.0,10.8,0.0,0.245,0.0,0.1,0.29,0.0,0.5,65.67,2.87
"Beef, variety meats and by-products, kidneys, cooked, simmered",71.4943,26,65,40.0,71.4943,72.8804,,0.0,0.0,0.02,0.649,0.069,0.617,0.868,0.626,0.022,0.0,0.023,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,716.0,513.2,0.564,0.0,158.0,0.96,1.138,1.439,0.0,83.0,83.0,83.0,0.0,5.8,0.0,23.0,12.0,3.92,304.0,135.0,27.27,0.0,2.97,168.0,94.0,0.0,0.0,0.16,4.65,0.0,24.9,0.0,0.391,0.0,1.1,0.08,0.0,0.0,66.88,2.84
"Beef, variety meats and by-products, liver, cooked, pan-fried",57.7508,26,65,40.0,57.7508,,55.7221,0.0,0.0,0.037,0.724,0.086,1.68,0.987,0.0,0.036,0.0,0.008,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.16,11.0,182.0,381.0,418.2,14.588,21.0,175.0,1.106,1.021,2.53,0.0,260.0,260.0,260.0,0.0,6.17,0.0,0.0,22.0,17.475,485.0,351.0,26.52,7728.0,3.425,32.8,77.0,0.0,0.0,0.177,4.68,7744.0,83.13,0.0,1.027,0.7,1.2,0.46,0.0,3.9,62.01,5.23
"Beef, variety meats and by-products, tongue, cooked, simmered",62.9402,26,65,40.0,62.9402,64.0144,,0.0,0.024,0.732,4.643,0.929,2.347,8.905,0.526,0.091,0.0,0.076,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,132.0,155.0,0.148,0.0,284.0,10.102,0.746,8.125,0.0,7.0,7.0,7.0,0.0,2.61,0.0,0.0,15.0,3.49,145.0,184.0,19.29,0.0,0.294,13.2,65.0,0.0,0.0,0.022,22.3,0.0,3.13,0.0,0.155,1.3,0.4,0.3,0.0,1.2,57.87,4.09
"Beef, variety meats and by-products, tripe, raw",21.2585,26,65,40.0,21.2585,21.2425,21.5093,0.0,0.0,0.07,0.643,0.088,0.463,1.413,0.116,0.011,0.0,0.017,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,122.0,194.8,0.07,0.0,85.0,1.533,0.18,1.291,0.0,5.0,5.0,5.0,0.0,0.59,0.0,0.0,13.0,0.881,64.0,67.0,12.07,0.0,0.064,12.5,97.0,0.0,0.0,0.0,3.69,0.0,1.39,0.0,0.014,0.0,0.0,0.09,0.0,0.0,84.16,1.42
"Beef, cured, breakfast strips, cooked",87.9663,26,65,40.0,87.9663,84.9857,86.4988,0.13,0.1,1.22,7.66,2.27,4.48,14.58,1.25,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.4,0.0,0.0,119.0,119.2,0.116,0.0,449.0,16.85,1.58,14.35,0.0,8.0,8.0,8.0,0.0,3.14,0.0,0.0,27.0,6.47,236.0,412.0,31.3,0.0,0.26,26.8,1500.0,0.0,0.0,0.09,34.4,0.0,3.45,0.0,0.31,0.0,0.2,0.29,0.0,2.8,26.2,6.37
"Beef, cured, corned beef, brisket, cooked",49.8701,26,65,40.0,49.8701,52.6997,51.2208,0.04,0.02,0.5,3.69,1.44,1.74,7.78,0.54,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.47,0.0,0.0,98.0,69.2,0.154,0.0,251.0,9.22,0.67,6.34,0.0,6.0,6.0,6.0,0.0,1.86,0.0,0.0,12.0,3.03,125.0,145.0,18.17,0.0,0.17,32.8,973.0,0.0,0.0,0.026,18.98,0.0,1.63,0.0,0.23,0.0,0.1,0.16,0.0,1.5,59.79,4.58
"Beef, cured, dried",19.7827,26,65,40.0,19.7827,17.8989,,0.0,0.0,0.07,0.588,0.078,0.292,0.762,0.055,0.005,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.76,0.0,0.0,79.0,0.0,0.074,0.0,153.0,0.84,0.07,0.95,0.0,10.0,10.0,10.0,0.0,2.42,0.0,0.0,19.0,5.164,181.0,235.0,31.1,0.0,0.163,32.4,2790.0,2.7,0.0,0.065,1.94,0.0,1.59,0.0,0.386,0.0,0.0,0.38,0.0,1.3,53.8,4.93
"Beef, cured, pastrami",22.0194,26,65,40.0,22.0194,20.4811,23.8041,0.006,0.006,0.223,1.654,0.209,0.792,1.905,0.116,0.011,0.0,0.004,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.36,0.0,22.0,68.0,81.6,0.091,6.0,147.0,2.118,0.145,2.681,0.0,6.0,6.0,6.0,0.0,2.22,11.0,0.0,17.0,4.26,175.0,210.0,21.8,0.0,0.161,17.7,1078.0,0.1,0.0,0.052,5.82,2.0,1.87,0.0,0.221,0.3,0.1,0.12,0.0,0.7,69.53,4.98
"Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",54.1938,26,65,40.0,54.1938,,,0.05,0.04,0.63,4.68,0.88,2.13,7.77,0.46,0.18,0.0,0.03,0.03,0.003,0.0,0.016,0.001,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,93.0,102.0,0.108,0.0,291.0,8.68,0.67,7.53,0.0,7.0,7.0,7.0,0.0,2.53,0.0,0.0,21.0,3.37,216.0,259.0,26.79,0.0,0.2,23.3,65.0,0.0,0.0,0.07,19.52,0.0,2.45,0.0,0.27,0.0,0.3,0.19,0.0,1.8,51.54,5.96
"Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",35.5189,26,65,40.0,35.5189,36.7142,34.339,0.0,0.0,0.31,2.25,0.46,1.07,4.18,0.24,0.02,0.0,0.01,0.04,0.003,0.0,0.015,0.001,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,93.0,113.3,0.119,0.0,218.0,4.65,0.3,3.63,0.0,8.0,8.0,8.0,0.0,2.81,0.0,0.0,23.0,3.71,241.0,285.0,29.75,0.0,0.22,24.5,70.0,0.0,0.0,0.07,10.08,0.0,2.6,0.0,0.29,0.0,0.2,0.14,0.0,1.6,57.71,6.89
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",30.7466,27,65,41.5,30.7466,,30.6538,0.009,0.006,0.22,1.866,0.286,1.054,3.273,0.462,0.019,0.0,0.014,0.071,0.004,0.0,0.013,0.001,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,93.0,73.8,0.102,0.0,198.0,3.728,0.593,3.296,0.0,7.0,7.0,7.0,0.0,3.59,0.0,0.0,20.0,6.235,285.0,390.0,30.7,2.0,0.441,28.0,59.0,0.0,0.0,0.071,8.32,2.0,4.57,0.0,0.765,0.0,0.1,0.28,0.0,1.4,60.76,4.68
"Beef, short loin, porterhouse steak, separable lean only,  trimmed to 1/8"" fat, all grades, cooked, grilled",29.4187,27,65,41.5,29.4187,28.8353,28.1975,0.008,0.008,0.267,2.282,0.322,1.295,4.025,0.415,0.017,0.0,0.021,0.048,0.002,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,82.0,65.9,0.073,0.0,213.0,4.516,0.513,4.026,0.0,7.0,7.0,7.0,0.0,3.22,0.0,0.0,23.0,6.033,224.0,291.0,28.16,7.0,0.26,28.2,68.0,0.0,0.0,0.059,10.32,7.0,2.16,0.0,0.692,0.0,0.1,0.24,0.0,1.5,61.05,4.67
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked",44.52,26,65,40.0,44.52,41.7296,46.8687,0.024,0.024,0.485,3.853,0.594,2.216,6.639,0.573,0.087,0.0,0.03,0.045,0.003,0.0,0.012,0.001,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,87.0,83.3,0.075,0.0,259.0,7.407,0.733,6.782,0.0,7.0,7.0,7.0,0.0,2.2,0.0,0.0,20.0,5.458,180.0,271.0,26.11,3.0,0.189,28.3,50.0,0.0,0.0,0.068,16.59,3.0,1.81,0.0,0.478,0.0,0.2,0.31,0.0,1.4,56.97,5.1
